ItemID;Name;Path;Type;CreationDate;ModifiedDate;Hidden
64D93317-E0C0-45D8-A7CA-EB0888E13BBE;Satisci Firma Dagilimlari;/Subscriptions/Satisci Firma Dagilimlari;2;2018-06-18 10:23:02.790;2025-03-14 15:19:10.590;False
8710A26F-CF24-4E83-9F7F-BEA8469C96C3;Sisecam (R002);/Subscriptions/Sisecam (R002);2;2019-08-21 13:51:55.143;2025-03-14 15:19:12.510;False
6BDA58EC-355D-497C-94C1-D5395DEFB9EC;Turkcell (R004);/Subscriptions/Turkcell (R004);2;2019-08-21 13:52:40.550;2025-03-14 15:19:13.637;False
93BC7D77-00CD-4545-9DD8-42F220605111;API Performans (Canli Dashboard);/Teknoloji ve İnovasyon/API Performans (Canli Dashboard);13;2019-10-24 11:06:56.887;2025-07-17 14:49:47.490;False
8D4B728D-ABB9-4C45-8C8A-8CAA3038A234;Azure Control Panel;/Teknoloji ve İnovasyon/Azure Control Panel;13;2024-02-06 10:35:02.813;2026-02-06 11:26:57.517;False
1F05112C-F07E-4AC1-9502-3A1FE27B4341;KAIRA Kullanımı;/Teknoloji ve İnovasyon/KAIRA Kullanımı;13;2025-11-25 15:21:50.347;2025-11-28 09:36:34.513;False
2ADD2DC1-1629-4CA7-A96B-9F502C81C5B4;Veri Kontrol Raporu;/Teknoloji ve İnovasyon/Veri Kontrol Raporu;2;2018-10-19 17:31:19.333;2025-10-22 09:01:01.307;False
6193CC0F-0D72-4F87-9307-A9BF45A37722;Mülakat Hizmeti;/WeConsulting/Mülakat Hizmeti;13;2024-02-02 16:32:11.767;2025-12-30 10:18:24.897;False
F5F8F175-CA3D-4F69-AF85-B03E08591B43;Phoenix Dashboard;/WeConsulting/Phoenix Dashboard;13;2021-10-13 10:27:07.560;2025-02-19 17:44:29.227;False
5C0C0903-29C3-4392-9475-66DD2D600EF3;Researcher Performansı ve Günlük Akıllı İlan;/WeConsulting/Researcher Performansı ve Günlük Akıllı İlan;13;2021-11-17 17:28:59.003;2024-12-18 09:50:56.180;False
6832CEEC-C8CA-4A4D-AB63-B9442096F9F6;Researcher Verimlilik Raporu (Canlı);/WeConsulting/Researcher Verimlilik Raporu (Canlı);13;2022-12-19 14:12:47.060;2023-08-17 10:12:38.870;False
592C3EC7-3099-451A-BE29-3EB8893E84EA;Tekrarlı Yayınlanan Ilanlar;/WeConsulting/Tekrarlı Yayınlanan Ilanlar;13;2023-06-15 13:22:14.657;2026-04-07 17:49:57.037;False
02FE54EC-2178-47DC-8F28-99D9DC601978;WeBrand;/WeConsulting/WeBrand;13;2022-05-10 15:40:54.170;2025-02-11 17:30:05.697;False
2CC78645-96DC-491F-BF3C-07DB0C46B0B8;WeBrand Teklif ve Satışları;/WeConsulting/WeBrand Teklif ve Satışları;13;2022-09-29 17:37:36.083;2025-02-11 17:46:39.460;False
D81FD98A-2D69-496E-9A94-AD11E1700629;WeConsulting;/WeConsulting/WeConsulting;13;2025-01-14 17:33:12.407;2025-01-30 09:24:37.220;False
FE8F5C86-C25E-4EBD-A916-530CB2D20D98;WeConsulting-Satışlar;/WeConsulting/WeConsulting-Satışlar;13;2024-01-12 15:38:43.987;2025-01-30 09:30:47.967;False
99715BDF-147F-48F6-9A84-2228241B0DE3;WeHire Gelir Raporu;/WeConsulting/WeHire Gelir Raporu;2;2019-12-09 13:34:30.743;2024-01-22 11:49:42.323;False
610DA47F-6A11-4ACC-B152-E3004A4159AB;WeHire İptalleri;/WeConsulting/WeHire İptalleri;13;2024-08-06 19:02:23.380;2024-09-17 14:53:46.500;False
3DB716D7-B450-4DEF-973E-F36333935AA7;WeHire Teklifleri;/WeConsulting/WeHire Teklifleri;13;2025-01-23 17:06:40.367;2025-03-04 10:20:10.497;False
