ItemID;Name;Path;Hidden;URL
80BE231F-17C9-4384-A00E-39C96F137449;Stratejik Focus (2025);/Satış/Kullanıcı Performans/Stratejik Focus (2025);False;https://raportal.kariyer.net/home/report/Sat%C4%B1%C5%9F/Kullan%C4%B1c%C4%B1%20Performans/Stratejik%20Focus%20%282025%29
BBD3D9E1-0941-413E-87A1-D4AC0ABA45E6;Stratejik Focus (2026);/Satış/Kullanıcı Performans/Stratejik Focus (2026);False;https://raportal.kariyer.net/home/report/Sat%C4%B1%C5%9F/Kullan%C4%B1c%C4%B1%20Performans/Stratejik%20Focus%20%282026%29
76041583-FF1E-4271-853D-82186C3D53CC;Süper İlan;/.KARİYER.NET CORE/Süper İlan;False;https://raportal.kariyer.net/home/report/.KAR%C4%B0YER.NET%20CORE/S%C3%BCper%20%C4%B0lan
B24CBD37-F049-4808-94AF-26D517215571;Tahimini Hedef Gerçekleştirme;/Satış/Kullanıcı Performans/Tahimini Hedef Gerçekleştirme;False;https://raportal.kariyer.net/home/report/Sat%C4%B1%C5%9F/Kullan%C4%B1c%C4%B1%20Performans/Tahimini%20Hedef%20Ger%C3%A7ekle%C5%9Ftirme
67D99CEF-596F-4070-BD23-71F3C821DFCF;Tahmini HGO;/Satış/Kullanıcı Performans/Tahmini HGO;False;https://raportal.kariyer.net/home/report/Sat%C4%B1%C5%9F/Kullan%C4%B1c%C4%B1%20Performans/Tahmini%20HGO
3FFA124F-3DE1-4950-98CD-C519D7F81B44;Tahsilat Kapama Raporu;/Finans/Tahsilat Kapama Raporu;False;https://raportal.kariyer.net/home/report/Finans/Tahsilat%20Kapama%20Raporu
8029BF82-D055-4F6E-9C22-6B609ADFA5D3;Tahtakale;/Pazarlama ve Ürün Yönetimi/İşin Olsun/Tahtakale;False;https://raportal.kariyer.net/home/report/Pazarlama%20ve%20%C3%9Cr%C3%BCn%20Y%C3%B6netimi/%C4%B0%C5%9Fin%20Olsun/Tahtakale
579DA801-FB21-49F2-B1E0-C196CE40E937;Techcareer Dashboard;/.KARİYER.NET CORE/Techcareer Dashboard;False;https://raportal.kariyer.net/home/report/.KAR%C4%B0YER.NET%20CORE/Techcareer%20Dashboard
02DF844E-EBFB-46DC-B41A-E7734AD215B9;Techcareer Günlük Metrikleri;/.KARİYER.NET CORE/Techcareer Günlük Metrikleri;False;https://raportal.kariyer.net/home/report/.KAR%C4%B0YER.NET%20CORE/Techcareer%20G%C3%BCnl%C3%BCk%20Metrikleri
4531FDF8-2E60-454B-8377-B33920D2B4F6;Techcareer.net;/Satış/Techcareer.net;False;https://raportal.kariyer.net/home/report/Sat%C4%B1%C5%9F/Techcareer.net
